instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp
1,01-01-2011,1,0,1,0,FALSE,6,1,0.24
2,01-01-2011,1,0,1,1,FALSE,6,1,0.22
3,01-01-2011,1,0,1,2,FALSE,6,1,0.22
4,01-01-2011,1,0,1,3,FALSE,6,1,0.24
5,01-01-2011,1,0,1,4,FALSE,6,1,0.24
6,01-01-2011,1,0,1,5,FALSE,6,2,0.24
7,01-01-2011,1,0,1,6,FALSE,6,1,0.22
8,01-01-2011,1,0,1,7,FALSE,6,1,0.2
9,01-01-2011,1,0,1,8,FALSE,6,1,0.24
10,01-01-2011,1,0,1,9,FALSE,6,1,0.32
11,01-01-2011,1,0,1,10,FALSE,6,1,0.38
12,01-01-2011,1,0,1,11,FALSE,6,1,0.36
13,01-01-2011,1,0,1,12,FALSE,6,1,0.42
14,01-01-2011,1,0,1,13,FALSE,6,2,0.46
15,01-01-2011,1,0,1,14,FALSE,6,2,0.46
16,01-01-2011,1,0,1,15,FALSE,6,2,0.44
17,01-01-2011,1,0,1,16,FALSE,6,2,0.42
18,01-01-2011,1,0,1,17,FALSE,6,2,0.44
19,01-01-2011,1,0,1,18,FALSE,6,3,0.42
20,01-01-2011,1,0,1,19,FALSE,6,3,0.42
21,01-01-2011,1,0,1,20,FALSE,6,2,0.4
22,01-01-2011,1,0,1,21,FALSE,6,2,0.4
23,01-01-2011,1,0,1,22,FALSE,6,2,0.4
24,01-01-2011,1,0,1,23,FALSE,6,2,0.46
25,02-01-2011,1,0,1,0,FALSE,0,2,0.46
26,02-01-2011,1,0,1,1,FALSE,0,2,0.44
27,02-01-2011,1,0,1,2,FALSE,0,2,0.42
28,02-01-2011,1,0,1,3,FALSE,0,2,0.46
29,02-01-2011,1,0,1,4,FALSE,0,2,0.46
30,02-01-2011,1,0,1,6,FALSE,0,3,0.42
31,02-01-2011,1,0,1,7,FALSE,0,2,0.4
32,02-01-2011,1,0,1,8,FALSE,0,3,0.4
33,02-01-2011,1,0,1,9,FALSE,0,2,0.38
34,02-01-2011,1,0,1,10,FALSE,0,2,0.36
35,02-01-2011,1,0,1,11,FALSE,0,2,0.36
36,02-01-2011,1,0,1,12,FALSE,0,2,0.36
37,02-01-2011,1,0,1,13,FALSE,0,2,0.36
38,02-01-2011,1,0,1,14,FALSE,0,3,0.36
39,02-01-2011,1,0,1,15,FALSE,0,3,0.34
40,02-01-2011,1,0,1,16,FALSE,0,3,0.34
41,02-01-2011,1,0,1,17,FALSE,0,1,0.34
42,02-01-2011,1,0,1,18,FALSE,0,2,0.36
43,02-01-2011,1,0,1,19,FALSE,0,1,0.32
44,02-01-2011,1,0,1,20,FALSE,0,1,0.3
45,02-01-2011,1,0,1,21,FALSE,0,1,0.26
46,02-01-2011,1,0,1,22,FALSE,0,1,0.24
47,02-01-2011,1,0,1,23,FALSE,0,1,0.22
48,03-01-2011,1,0,1,0,FALSE,1,1,0.22
49,03-01-2011,1,0,1,1,FALSE,1,1,0.2
50,03-01-2011,1,0,1,4,FALSE,1,1,0.16
51,03-01-2011,1,0,1,5,FALSE,1,1,0.16
52,03-01-2011,1,0,1,6,FALSE,1,1,0.14
53,03-01-2011,1,0,1,7,FALSE,1,1,0.14
