instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
620,29-01-2011,1,0,1,1,FALSE,6,1,0.22,0.2273,0.64,0.194,0,20,20
621,29-01-2011,1,0,1,2,FALSE,6,1,0.22,0.2273,0.64,0.1642,0,15,15
622,29-01-2011,1,0,1,3,FALSE,6,1,0.2,0.2121,0.64,0.1343,3,5,8
623,29-01-2011,1,0,1,4,FALSE,6,1,0.16,0.1818,0.69,0.1045,1,2,3
624,29-01-2011,1,0,1,6,FALSE,6,1,0.16,0.1818,0.64,0.1343,0,2,2
625,29-01-2011,1,0,1,7,FALSE,6,1,0.16,0.1818,0.59,0.1045,1,4,5
626,29-01-2011,1,0,1,8,FALSE,6,1,0.18,0.197,0.55,0.1642,3,31,34
627,29-01-2011,1,0,1,9,FALSE,6,1,0.18,0.2121,0.59,0.0896,0,34,34
628,29-01-2011,1,0,1,10,FALSE,6,2,0.18,0.2121,0.64,0.1045,4,51,55
629,29-01-2011,1,0,1,11,FALSE,6,2,0.18,0.197,0.64,0.1343,4,60,64
630,29-01-2011,1,0,1,12,FALSE,6,2,0.2,0.197,0.59,0.194,12,66,78
631,29-01-2011,1,0,1,13,FALSE,6,2,0.22,0.2273,0.55,0.1642,9,56,65
632,29-01-2011,1,0,1,14,FALSE,6,2,0.22,0.2273,0.6,0.1343,10,89,99
633,29-01-2011,1,0,1,15,FALSE,6,1,0.22,0.2121,0.69,0.2537,22,98,120
634,29-01-2011,1,0,1,16,FALSE,6,1,0.24,0.2424,0.6,0.1642,19,88,107
635,29-01-2011,1,0,1,17,FALSE,6,1,0.24,0.2879,0.6,0,9,82,91
636,29-01-2011,1,0,1,18,FALSE,6,1,0.22,0.2273,0.69,0.1343,9,59,68
637,29-01-2011,1,0,1,19,FALSE,6,2,0.22,0.2121,0.69,0.2537,6,52,58
638,29-01-2011,1,0,1,20,FALSE,6,1,0.18,0.2121,0.74,0.0896,1,42,43
639,29-01-2011,1,0,1,21,FALSE,6,1,0.18,0.2121,0.74,0.0896,1,35,36
640,29-01-2011,1,0,1,22,FALSE,6,1,0.16,0.197,0.8,0.0896,4,28,32
641,29-01-2011,1,0,1,23,FALSE,6,1,0.16,0.197,0.8,0.0896,3,30,33
642,30-01-2011,1,0,1,0,FALSE,0,1,0.16,0.1818,0.8,0.1045,0,33,33
643,30-01-2011,1,0,1,1,FALSE,0,1,0.14,0.2121,0.8,0,7,22,29
644,30-01-2011,1,0,1,2,FALSE,0,1,0.16,0.2273,0.8,0,1,10,11
645,30-01-2011,1,0,1,3,FALSE,0,1,0.14,0.2121,0.93,0,1,7,8
646,30-01-2011,1,0,1,4,FALSE,0,1,0.14,0.2121,0.93,0,0,1,1
647,30-01-2011,1,0,1,5,FALSE,0,1,0.14,0.2121,0.86,0,0,3,3
648,30-01-2011,1,0,1,7,FALSE,0,1,0.14,0.2121,0.86,0,0,3,3
649,30-01-2011,1,0,1,8,FALSE,0,2,0.14,0.2121,0.86,0,1,11,12
650,30-01-2011,1,0,1,9,FALSE,0,2,0.16,0.2273,0.8,0,4,34,38
651,30-01-2011,1,0,1,10,FALSE,0,2,0.18,0.2424,0.8,0,7,57,64
652,30-01-2011,1,0,1,11,FALSE,0,1,0.22,0.2727,0.75,0,9,50,59
653,30-01-2011,1,0,1,12,FALSE,0,1,0.3,0.3182,0.52,0.1045,10,87,97
654,30-01-2011,1,0,1,13,FALSE,0,1,0.28,0.2879,0.61,0.1045,13,71,84
655,30-01-2011,1,0,1,14,FALSE,0,1,0.28,0.303,0.61,0.0896,18,104,122
656,30-01-2011,1,0,1,15,FALSE,0,1,0.3,0.3333,0.56,0,14,95,109
657,30-01-2011,1,0,1,16,FALSE,0,1,0.3,0.3333,0.56,0,19,104,123
658,30-01-2011,1,0,1,17,FALSE,0,1,0.3,0.2879,0.56,0.194,6,71,77
659,30-01-2011,1,0,1,18,FALSE,0,1,0.26,0.2576,0.65,0.1642,8,57,65
660,30-01-2011,1,0,1,19,FALSE,0,1,0.26,0.2576,0.65,0.194,9,46,55
661,30-01-2011,1,0,1,20,FALSE,0,2,0.26,0.2727,0.65,0.1045,3,30,33
662,30-01-2011,1,0,1,21,FALSE,0,2,0.24,0.2424,0.7,0.1642,3,25,28
663,30-01-2011,1,0,1,22,FALSE,0,2,0.24,0.2273,0.7,0.194,2,19,21
664,30-01-2011,1,0,1,23,FALSE,0,2,0.24,0.2121,0.65,0.2836,5,16,21
